anchor_cat,positive_cat,negative_cat
n01807496,n02123597,n01484850
n01883070,n03680355,n02085782
n02640242,n02497673,n01632458
n02108089,n03425413,n02105641
n04591713,n03627232,n03980874
n02992529,n02115913,n01820546
n06359193,n04493381,n04127249
n07590611,n04146614,n02097474
n02749479,n03131574,n02100583
n04597913,n02500267,n03832673
n04111531,n02869837,n02667093
n04613696,n03781244,n02074367
n07717410,n02099601,n01843065
n02526121,n01669191,n01774750
n09468604,n01698640,n03187595
n01734418,n04461696,n02364673
n01824575,n01984695,n02786058
n03014705,n01776313,n02106382
n02504013,n03538406,n02033041
n02509815,n07583066,n02909870
n03775071,n01984695,n01704323
n03873416,n03902125,n04418357
n04204238,n02655020,n02361337
n03710193,n01955084,n01855672
n04125021,n03874293,n02091032
n04548280,n01740131,n03887697
n04557648,n02107142,n04251144
n01692333,n01978287,n03344393
n02966687,n03124043,n03417042
n02096177,n02835271,n04141327
n02807133,n03216828,n03770679
n02727426,n04192698,n02281787
n02835271,n04311174,n07930864
n01756291,n01644900,n02606052
n03041632,n01773549,n04380533
n01494475,n02108915,n01824575
n02815834,n02101388,n03877845
n02641379,n01644900,n02095570
n03124170,n03992509,n03063599
n01773157,n02102973,n03759954
n03538406,n09256479,n01817953
n01665541,n02101388,n04296562
n01985128,n02325366,n02640242
n02106662,n04200800,n02229544
n04118538,n04597913,n02971356
n04597913,n03666591,n02107574
n02111889,n02107312,n04548280
n03075370,n02169497,n02074367
n03016953,n02835271,n04270147
n03938244,n02730930,n04209133
n07583066,n13037406,n04141327
n03146219,n02951358,n01820546
n04548280,n01689811,n02701002
n01950731,n01806567,n03792782
n01728920,n02123597,n02676566
n02165105,n01914609,n03950228
n02443114,n03379051,n15075141
n01440764,n04039381,n01847000
n03995372,n02410509,n02190166
n02112137,n02264363,n03110669
n02526121,n04330267,n03297495
n02769748,n02948072,n03877845
n01688243,n02948072,n09332890
n02086079,n01980166,n02094258
n04277352,n03240683,n04591713
n02106166,n01491361,n04557648
n04336792,n03089624,n01820546
n02669723,n01729322,n07802026
n01675722,n01980166,n02124075
n04019541,n03908618,n01629819
n03250847,n03787032,n04277352
n03887697,n02963159,n02441942
n03983396,n01882714,n02099601
n04553703,n03691459,n02091134
n02096585,n01877812,n03721384
n07747607,n04149813,n04485082
n07734744,n02607072,n01537544
n01748264,n02119022,n04065272
n07615774,n07760859,n03887697
n03255030,n02489166,n15075141
n03777754,n02786058,n07920052
n02640242,n01744401,n04418357
n03388043,n04141076,n04238763
n03197337,n03769881,n03393912
n03958227,n04493381,n02087394
n04330267,n03125729,n01770081
n01698640,n03942813,n02951585
n07745940,n03042490,n03877845
n04251144,n01560419,n03658185
n04532670,n12985857,n02794156
n02963159,n03976657,n03485407
n02013706,n03825788,n03733805
n03201208,n03920288,n02097474
n04153751,n04409515,n02692877
n03729826,n02115913,n03447447
n04153751,n01985128,n06596364
n03207743,n02321529,n02109047
n03777754,n01697457,n02708093
n03777754,n04026417,n02268853
n09421951,n03868242,n02106030
n04239074,n02037110,n04090263
n03146219,n03874599,n09421951
n03483316,n03188531,n02037110
n04462240,n07697537,n02128385
n02089078,n03633091,n02264363
n02099429,n02454379,n07753275
n02109047,n03854065,n03884397
n04277352,n02361337,n03947888
n03670208,n01768244,n02086079
n03394916,n02107908,n03933933
n03255030,n03874599,n03720891
n02794156,n02018207,n03884397
n01753488,n03633091,n02791270
n03888257,n07716358,n04004767
n02492660,n03977966,n03983396
n03124170,n03977966,n03063599
n03937543,n01677366,n04179913
n04251144,n07860988,n01443537
n03207743,n03220513,n02105251
n03314780,n01883070,n03792972
n03100240,n02930766,n01632777
n03393912,n01955084,n03196217
n03947888,n02859443,n04074963
n03642806,n03457902,n04428191
n02177972,n02776631,n02096437
n01871265,n02090721,n02099429
n02325366,n07693725,n02096585
n04208210,n03781244,n03532672
n02091134,n04146614,n03109150
n03388183,n04532670,n04209133
n07715103,n03180011,n02640242
n03825788,n03627232,n04111531
n03623198,n01667114,n02129165
n04039381,n03259280,n03916031
n02013706,n03691459,n03947888
n03297495,n04517823,n02110806
n02536864,n02077923,n04347754
n02441942,n02093859,n01860187
n03840681,n01945685,n03447447
n02091635,n01860187,n02098286
n07614500,n02607072,n02093647
n03201208,n04584207,n04254120
n01773797,n07831146,n02326432
n07584110,n03131574,n03995372
n02782093,n02483708,n02097474
n02974003,n03447721,n04429376
n02104029,n02699494,n02099712
n04033995,n07565083,n04146614
n03991062,n07697537,n03720891
n04548362,n03841143,n02093256
n01798484,n03127747,n02825657
n01728920,n01751748,n07892512
n04069434,n04270147,n07753113
n03930630,n04147183,n02099429
n02110958,n01978287,n04366367
n01855032,n02125311,n01829413
n01534433,n01986214,n07802026
n07875152,n03977966,n04141327
n04200800,n01667114,n02112018
n02119789,n01917289,n04418357
n02488702,n01955084,n01484850
n01689811,n01644900,n02326432
n04579432,n02504458,n03764736
n03109150,n02504458,n02794156
n02113624,n04192698,n01828970
n03400231,n04525038,n01833805
n03393912,n06794110,n02843684
n07720875,n03495258,n02009229
n04372370,n02108551,n06794110
n02823750,n01806143,n03133878
n03028079,n09468604,n01944390
n02442845,n01735189,n03584829
n09468604,n04371774,n02454379
n01530575,n04116512,n02108000
n02769748,n03874293,n03481172
n02134418,n02138441,n02099601
n02096585,n12768682,n03492542
n02776631,n04149813,n03877845
n02095889,n01687978,n03109150
n01582220,n03841143,n03832673
n02823428,n04355338,n07802026
n01601694,n03255030,n03617480
n03109150,n01984695,n03710193
n02086079,n02114712,n03188531
n03976467,n01665541,n02074367
n01877812,n03355925,n02268853
n03761084,n09472597,n03903868
n03065424,n03637318,n02058221
n02259212,n02264363,n03344393
n02782093,n03874599,n07753275
n02342885,n03127747,n07717410
n03891251,n01756291,n04277352
n03594734,n02106662,n02690373
n03733131,n01806567,n03063599
n02138441,n12985857,n04251144
n02484975,n02445715,n04332243
n02927161,n12267677,n03032252
n02028035,n04515003,n02033041
n02704792,n01873310,n02917067
n02093754,n04371774,n04380533
n01685808,n03781244,n01855672
n01742172,n03457902,n04136333
n04542943,n02018795,n02454379
n03970156,n02325366,n04604644
n02018207,n01847000,n04417672
n03271574,n03388043,n04613696
n04118538,n02389026,n02086240
n04367480,n02094114,n04604644
n02105855,n03929660,n03877472
n03259280,n07590611,n02883205
n06874185,n03854065,n02979186
n02101388,n03065424,n04008634
n02120505,n07873807,n04423845
n04133789,n03857828,n06794110
n02174001,n03146219,n04162706
n01685808,n02111129,n03873416
n02690373,n03461385,n02980441
n10148035,n03710637,n03424325
n02669723,n04228054,n04111531
n04442312,n01770393,n04008634
n01484850,n03075370,n01537544
n01796340,n02110958,n03838899
n04435653,n02116738,n03014705
n04069434,n03124170,n03777568
n03133878,n04133789,n03796401
n02484975,n03018349,n04332243
n02607072,n02206856,n02105641
n02326432,n01530575,n03924679
n03770439,n02108551,n03902125
n04509417,n01986214,n02114712
n02871525,n07873807,n03637318
n07615774,n02093859,n04229816
n03958227,n01855032,n03947888
n02488291,n03062245,n02009912
n10565667,n01872401,n02009912
n01675722,n02536864,n04554684
n09229709,n01980166,n15075141
n04584207,n03133878,n04423845
n03733281,n03384352,n04485082
n01667778,n03594945,n04509417
n03467068,n07614500,n07716906
n01843383,n01955084,n03599486
n07742313,n03599486,n03670208
n02102177,n02804414,n02676566
n07880968,n03124043,n04435653
n02280649,n03908714,n01580077
n02655020,n02489166,n03899768
n03388549,n03444034,n02782093
n02105412,n01877812,n02480855
n13054560,n03724870,n01537544
n01491361,n02134084,n04266014
n04467665,n02096051,n04591713
n02107683,n04612504,n07717410
n02410509,n01669191,n01833805
n01770393,n02966193,n03970156
n04264628,n09835506,n02091635
n01631663,n03220513,n02268853
n01773157,n02231487,n01484850
n02110063,n01917289,n02058221
n03776460,n04037443,n04251144
n02823750,n03841143,n02807133
n03355925,n01984695,n03777568
n03796401,n13054560,n07714990
n03443371,n02006656,n01797886
n02666196,n01955084,n03355925
n02971356,n04612504,n02319095
n03085013,n02106662,n04429376
n03400231,n04487394,n02123394
n02279972,n03000684,n02105855
n01682714,n03131574,n02119789
n03929855,n03220513,n01667778
n03483316,n01945685,n02843684
n02114855,n04372370,n04118776
n02823750,n01806143,n02834397
n03763968,n03761084,n02692877
n02112137,n01735189,n03063689
n03249569,n03706229,n02113023
n03729826,n03970156,n02113023
n02099267,n04357314,n03658185
n01798484,n04417672,n03924679
n03782006,n01753488,n09428293
n04404412,n02112350,n02190166
n02808440,n03950228,n02444819
n03594945,n01914609,n03733805
n07718472,n01756291,n03710193
n02002724,n01985128,n02870880
n01735189,n13037406,n02102040
n01806567,n04548362,n03661043
n03196217,n03873416,n02480495
n03777568,n09468604,n02002724
n07584110,n03131574,n02037110
n04209133,n03255030,n01855672
n03400231,n04310018,n02018795
n02097047,n04023962,n03947888
n03627232,n02504013,n04604644
n02992529,n04310018,n02120079
n09468604,n03530642,n03187595
n07720875,n02939185,n03180011
n02102040,n01930112,n04118776
n02444819,n03590841,n02326432
n03691459,n03337140,n03642806
n03680355,n07714990,n04070727
n09468604,n03777568,n03770679
n01774384,n07579787,n02486261
n02093647,n01735189,n02105855
n03977966,n13044778,n02113186
n03888257,n03109150,n02091635
n03496892,n02396427,n03494278
n02087394,n01675722,n02100236
n01735189,n01984695,n01558993
n04099969,n07730033,n04380533
n02095889,n02808304,n03995372
n01592084,n02894605,n03529860
n04554684,n03089624,n03297495
n07714571,n04229816,n02641379
n04270147,n02948072,n01616318
n01631663,n02981792,n07920052
n02172182,n03710721,n03297495
n01518878,n03379051,n02916936
n04023962,n03888605,n03761084
n02799071,n03814639,n02002556
n01930112,n04065272,n02457408
n02105251,n04192698,n07716358
n02226429,n01978287,n04380533
n02112706,n03874599,n04487394
n02268853,n01843383,n02408429
n03146219,n01877812,n02277742
n01910747,n01735189,n04277352
n04515003,n07754684,n03662601
n02509815,n04418357,n02028035
n04560804,n09229709,n03877845
n03447447,n03710637,n02099601
n04326547,n01735189,n02093991
n04590129,n04346328,n02124075
n01531178,n03314780,n03691459
n02112018,n02114712,n07715103
n04597913,n03676483,n03201208
n01630670,n01695060,n04263257
n04355338,n02790996,n02096437
n02791124,n03530642,n04090263
n02089867,n12998815,n02101006
n02843684,n03255030,n02229544
n04153751,n03394916,n02871525
n03804744,n04152593,n03838899
n02056570,n01820546,n03793489
n02097474,n02859443,n03837869
n03944341,n04462240,n03355925
n04131690,n02128385,n03717622
n01756291,n03874599,n02088094
n03935335,n03538406,n03787032
n02013706,n03825788,n03666591
n04525038,n03857828,n04456115
n01847000,n02701002,n03314780
n02727426,n02361337,n02676566
n04254777,n03841143,n02229544
n03400231,n01877812,n04008634
n03793489,n04141076,n03388549
n04019541,n02325366,n04252225
n03041632,n04346328,n04507155
n02100583,n01910747,n03133878
n04209133,n02110806,n02027492
n02917067,n04111531,n03291819
n01514859,n01667114,n03661043
n04482393,n02808304,n03658185
n02108915,n02981792,n04447861
n04525038,n04325704,n03457902
n02066245,n09472597,n03445777
n09835506,n03249569,n15075141
n02843684,n01688243,n03983396
n02963159,n02093256,n04008634
n03888257,n07248320,n03314780
n03584254,n07248320,n02825657
n03314780,n03249569,n03670208
n04208210,n02112137,n02486261
n02132136,n13044778,n02101388
n02025239,n02509815,n03933933
n01744401,n02497673,n02091467
n03180011,n01914609,n04146614
n02892767,n04462240,n02106550
n03032252,n01985128,n03670208
n03770439,n03710721,n02087046
n07716358,n03089624,n02807133
n03467068,n03697007,n02870880
n01735189,n02395406,n02102040
n01795545,n04554684,n01558993
n02091244,n02089867,n07892512
n02104365,n04111531,n04579432
n03000247,n03379051,n02363005
n03868242,n13054560,n02114367
n04286575,n03854065,n02687172
n02111500,n03291819,n04004767
n02099601,n01531178,n03661043
n07695742,n04536866,n02391049
n02095314,n07695742,n03642806
n02165456,n02948072,n02480855
n03417042,n04162706,n02480495
n03530642,n03495258,n03388183
n09472597,n04553703,n03976657
n02978881,n03290653,n04604644
n04404412,n07932039,n02097047
n02102318,n04146614,n03485407
n02095889,n03496892,n02093991
n03290653,n04409515,n01797886
n02978881,n09399592,n03877845
n02086079,n01980166,n04090263
n02108422,n07760859,n04254680
n02361337,n01440764,n02841315
n03743016,n03220513,n04487081
n07716906,n03854065,n02086240
n04133789,n04590129,n02971356
n01768244,n01729977,n02326432
n03447721,n02607072,n01828970
n02727426,n03788195,n02113799
n03995372,n01872401,n03535780
n03995372,n02643566,n03916031
n03877845,n02086079,n01843383
n02865351,n03045698,n03485794
n02115913,n03028079,n02814860
n01860187,n03868242,n03657121
n04259630,n01943899,n03876231
n07684084,n01873310,n02012849
n01632777,n03272010,n02033041
n01978287,n02930766,n02817516
n03980874,n04125021,n02090622
n03538406,n04376876,n02690373
n02177972,n02776631,n03355925
n02229544,n04141975,n03729826
n02105056,n02226429,n02480855
n04141327,n03201208,n03018349
n02011460,n04229816,n02794156
n04562935,n02088238,n02486410
n04532670,n03384352,n02099712
n02091467,n02843684,n02667093
n04152593,n04447861,n02814860
n03544143,n03982430,n04553703
n04141975,n03062245,n01734418
n04550184,n02256656,n02097474
n07718472,n01695060,n03197337
n01704323,n02871525,n03887697
n07583066,n02643566,n03532672
n03793489,n02117135,n04548280
n04254120,n03759954,n04442312
n02086646,n02536864,n02437616
n03131574,n04371774,n02096437
n02992211,n03891332,n03344393
n01729977,n04443257,n02480855
n02110185,n04350905,n01796340
n01775062,n03804744,n03935335
n01734418,n04613696,n03958227
n04265275,n01829413,n09428293
n03888605,n01914609,n01797886
n02259212,n04208210,n03344393
n03920288,n03196217,n04118776
n01729322,n02447366,n04366367
n01818515,n04040759,n03814639
n03062245,n01945685,n02100735
n03482405,n01687978,n03776460
n12998815,n03710637,n03642806
n07831146,n02097658,n01817953
n02500267,n02835271,n01806143
n07747607,n02879718,n04153751
n02091032,n02325366,n03271574
n04509417,n03888605,n02137549
n04141975,n02231487,n02002556
n02326432,n03126707,n02133161
n01608432,n01688243,n02123597
n03759954,n04296562,n03787032
n03255030,n02105412,n04366367
n02119022,n03967562,n03958227
n03902125,n01729322,n02326432
n03958227,n03992509,n02007558
n01592084,n02666196,n02120079
n04505470,n03089624,n03297495
n01440764,n01873310,n02092339
n09835506,n03249569,n04507155
n04355933,n01443537,n02167151
n03290653,n02128925,n01531178
n04344873,n03255030,n04509417
n02672831,n07614500,n03485407
n03207743,n03042490,n15075141
n02783161,n04065272,n02098286
n01737021,n11879895,n12144580
n07932039,n07697537,n01817953
n02097474,n02493509,n02641379
n03642806,n02666196,n02098105
n02113799,n02356798,n04332243
n02391049,n02500267,n01704323
n04380533,n02109961,n03642806
n01882714,n03347037,n04557648
n03791053,n04584207,n02096437
n02777292,n03476684,n04136333
n04467665,n02086910,n01580077
n01843065,n10565667,n03657121
n03467068,n04141076,n03109150
n02091635,n04133789,n03935335
n02977058,n03958227,n03709823
n01632777,n03938244,n02033041
n02361337,n03026506,n03888257
n02486410,n01914609,n03133878
n04536866,n03529860,n04239074
n01534433,n03063599,n03485407
n03124043,n03218198,n03873416
n02099712,n03187595,n04153751
n03841143,n07697537,n02444819
n03026506,n02859443,n01855672
n03991062,n07613480,n02114855
n03000134,n01914609,n02124075
n04285008,n04517823,n03393912
n07711569,n02321529,n02128385
n07892512,n07873807,n02895154
n02749479,n02169497,n01667778
n04033901,n01641577,n02441942
n03337140,n02992529,n02814860
n04118776,n11879895,n02281787
n01484850,n02256656,n02165105
n01665541,n02025239,n01641577
n13040303,n01677366,n04141327
n10148035,n03100240,n01682714
n03733805,n03345487,n01744401
n03602883,n02699494,n02033041
n03710193,n02510455,n07718472
n03388549,n04204238,n07614500
n03494278,n02110185,n03995372
n04371774,n03131574,n04332243
n03400231,n03124170,n02437616
n04044716,n07768694,n03720891
n04120489,n02096051,n04141975
n02128757,n03929855,n03786901
n02110063,n02102973,n03535780
n01622779,n02130308,n04251144
n01773797,n04310018,n04147183
n02667093,n04507155,n02457408
n09399592,n02834397,n02091635
n03485794,n04325704,n02422106
n04238763,n04376876,n02012849
n03347037,n03710637,n03344393
n04286575,n02113799,n03902125
n03743016,n01768244,n02114367
n04552348,n02500267,n03876231
n02641379,n03325584,n02749479
n02823428,n04200800,n02091244
n02095570,n06596364,n02965783
n03485407,n02747177,n02701002
n01768244,n03874599,n02090379
n01795545,n03496892,n02088238
n02480855,n03404251,n04264628
n04532106,n03791053,n02917067
n02486261,n03146219,n04507155
n03594734,n04371774,n02012849
n02892201,n04517823,n04008634
n03796401,n02101006,n03662601
n03452741,n02110063,n04070727
n01580077,n02112137,n02486261
n02641379,n02403003,n02840245
n03691459,n02481823,n01537544
n04548280,n04487394,n07734744
n02708093,n03325584,n02137549
n02086910,n02423022,n02113023
n02804610,n03584254,n03494278
n02815834,n03063599,n03457902
n09428293,n04548280,n02027492
n02129604,n03710721,n02807133
n02091244,n12998815,n02028035
n02325366,n01955084,n03933933
n02981792,n03160309,n01818515
n02259212,n12267677,n02093647
n02361337,n03045698,n07930864
n02112018,n04040759,n01930112
n03532672,n02389026,n02105251
n04418357,n02113624,n01795545
n02105162,n06596364,n02509815
n02099712,n04131690,n04540053
n02231487,n07892512,n02492035
n01955084,n03991062,n04008634
n04273569,n03075370,n04004767
n01917289,n03384352,n04389033
n02101556,n01530575,n04141327
n02389026,n02025239,n04456115
n04266014,n03954731,n01531178
n03026506,n04487394,n02280649
n02137549,n02088466,n04116512
n03976467,n02112350,n01773797
n04507155,n02980441,n03930313
n02105251,n02892201,n01601694
n01532829,n03874599,n03884397
n02111129,n04192698,n02708093
n03443371,n03250847,n02480855
n01629819,n03393912,n02667093
n01534433,n03857828,n02486261
n03394916,n13037406,n03532672
n02749479,n04409515,n04328186
n02951585,n03355925,n02012849
n02823428,n01773157,n04141327
n02794156,n03127747,n02056570
n01773797,n03791053,n02963159
n02106166,n03891332,n02105855
n02107683,n07613480,n01616318
n03459775,n02007558,n03877845
n03291819,n01983481,n02950826
n04263257,n01910747,n02676566
n02607072,n04040759,n02443114
n02109047,n04264628,n02676566
n01795545,n01773549,n01491361
n06596364,n03787032,n03388183
n02488291,n02093754,n02113023
n02102480,n04404412,n01882714
n03495258,n01685808,n03838899
n04033995,n03976657,n02835271
n02090622,n03417042,n02493793
n01986214,n01985128,n07248320
n02802426,n04435653,n03782006
n02114548,n03000247,n02797295
n02105162,n02134084,n04008634
n02869837,n03793489,n03534580
n02490219,n03743016,n04380533
n03956157,n03929855,n01537544
n04133789,n01496331,n02977058
n01677366,n02489166,n02883205
n02134418,n02097298,n03535780
n02492035,n04443257,n04367480
n03110669,n03841143,n02110063
n01728920,n04152593,n03063689
n03814906,n01737021,n02100735
n02102040,n07715103,n06596364
n03538406,n01910747,n02268443
n01981276,n02823750,n04270147
n04505470,n02415577,n02980441
n01756291,n07718472,n01632458
n02364673,n04589890,n04604644
n02099429,n01665541,n02168699
n04330267,n04152593,n03424325
n03127925,n02325366,n01828970
n01742172,n13040303,n04423845
n02978881,n03874599,n02808440
n02085936,n04554684,n02233338
n02916936,n02090622,n02089867
n03594734,n07714990,n15075141
n02134418,n07730033,n02106166
n07860988,n04462240,n04090263
n01986214,n01985128,n04332243
n01530575,n02165456,n02108000
n09835506,n07860988,n04204238
n04596742,n03240683,n02012849
n07730033,n02981792,n02690373
n02787622,n02130308,n09288635
n03100240,n09193705,n02667093
n02699494,n02417914,n09288635
n02112137,n02107908,n03770679
n04033995,n02109961,n03980874
n04009552,n02097658,n02120505
n03637318,n03259280,n01770081
n02133161,n02412080,n02013706
n01774750,n02504013,n03903868
n09246464,n09399592,n02088466
n04347754,n04507155,n13040303
n03793489,n04070727,n02088094
n02364673,n02097658,n03617480
n04409515,n01917289,n02097209
n03445924,n03676483,n04209239
n01829413,n07583066,n03873416
n07697313,n02097658,n04154565
n03131574,n01955084,n02099712
n02978881,n02321529,n04266014
n01641577,n01498041,n04004767
n02793495,n02398521,n02097474
n04389033,n01632458,n02124075
n04120489,n07711569,n02229544
n02100236,n03877845,n03452741
n03584829,n04371774,n02794156
n04392985,n01735189,n03770679
n01770393,n01744401,n04008634
n03793489,n04376876,n01632458
n03637318,n03141823,n03218198
n04487081,n03000247,n02112706
n01806143,n02104365,n04335435
n04081281,n02787622,n03544143
n03884397,n01498041,n04136333
n04235860,n01644373,n02690373
n04141327,n02114548,n02128385
n03983396,n02794156,n04507155
n04332243,n04612504,n02795169
n01735189,n02417914,n03216828
n04476259,n07754684,n02106662
n04201297,n04372370,n04367480
n04039381,n01984695,n02074367
n02128385,n01616318,n02865351
n02106382,n03000134,n04209133
n04127249,n04285008,n03777754
n02102480,n01749939,n03706229
n02268443,n02412080,n04127249
n06359193,n04208210,n02007558
n12998815,n09256479,n01817953
n07614500,n02105412,n02447366
n02536864,n03388043,n02794156
n02102318,n04146614,n04476259
n02096177,n04133789,n04429376
n02397096,n01669191,n03483316
n02895154,n02808304,n02105855
n09835506,n03045698,n04507155
n02492660,n02051845,n04286575
n02088094,n01677366,n04251144
n03930630,n02793495,n04423845
n02112018,n04040759,n04033901
n04273569,n03220513,n03344393
n02422106,n02108551,n02747177
n03018349,n01774750,n04141327
n04238763,n01984695,n03467068
n02790996,n02536864,n02457408
n01978455,n03977966,n02093256
n04399382,n02497673,n04404412
n02776631,n03016953,n01537544
n03661043,n03733805,n04560804
n01664065,n04254120,n03457902
n03944341,n07590611,n04366367
n02002724,n02412080,n04162706
n02910353,n07697537,n02814860
n04069434,n04612504,n02229544
n03777754,n09835506,n04579432
n02106166,n01631663,n04389033
n07831146,n01914609,n02097474
n02486410,n07880968,n04591713
n03201208,n03920288,n15075141
n01796340,n04435653,n03000247
n02074367,n02085782,n04532670
n04326547,n03000684,n03929660
n03933933,n04515003,n03482405
n03843555,n03929855,n04435653
n02391049,n02979186,n04069434
n04074963,n04346328,n09421951
n02096294,n04467665,n03180011
n03710193,n01955084,n01828970
n02088238,n07695742,n02093256
n03529860,n03179701,n01817953
n03272562,n04243546,n04154565
n04532106,n01692333,n03887697
n04328186,n03770439,n04557648
n03095699,n01984695,n01828970
n04562935,n04325704,n04239074
n03124170,n02865351,n04604644
n02606052,n01531178,n03876231
n07753275,n02835271,n02484975
n02825657,n02123597,n02708093
n03347037,n04310018,n02457408
n03775071,n03259280,n03041632
n02906734,n02089078,n02951585
n02699494,n01632458,n02749479
n04562935,n03452741,n01667778
n02102480,n07831146,n02480855
n09332890,n09193705,n03445777
n02123045,n01644900,n07697313
n01734418,n01883070,n04356056
n04330267,n07697537,n03207941
n01990800,n01734418,n03041632
n04356056,n02981792,n01667778
n01644373,n02791124,n02979186
n04330267,n03125729,n02091467
n02363005,n02500267,n04141327
n01776313,n03045698,n04125021
n02113186,n03769881,n02114855
n02910353,n07760859,n02088364
n01883070,n01917289,n03782006
n01580077,n02106662,n04604644
n03775546,n01914609,n04131690
n03843555,n02104365,n02114855
n04542943,n03854065,n04346328
n03201208,n04009552,n02655020
n03095699,n02093754,n07930864
n04536866,n02231487,n02804610
n02132136,n02105855,n02444819
n02817516,n04209133,n03527444
n07754684,n04399382,n09428293
n03976657,n03857828,n04476259
n02776631,n03854065,n02120505
n07880968,n04399382,n03721384
n02992211,n03874599,n02013706
n02107574,n02980441,n02492035
n03452741,n01667114,n04429376
n02108915,n07693725,n03492542
n03804744,n12620546,n04355933
n04277352,n02128757,n01843065
n02727426,n01695060,n02114548
n03584829,n02536864,n03764736
n04118538,n04462240,n07802026
n02229544,n03532672,n03877845
n02113186,n02107908,n02814533
n02791124,n02992529,n03388183
n04550184,n03187595,n02113712
n02088094,n04311174,n04604644
n03877472,n03000684,n02268853
n02066245,n03384352,n02814860
n01629819,n01729977,n04579432
n02992211,n01986214,n04476259
n02871525,n02417914,n03995372
n03461385,n04149813,n04367480
n02112137,n01871265,n02102318
n02107142,n02017213,n02814860
n02965783,n01944390,n02264363
n04254680,n04356056,n02096437
n02100735,n02091244,n04162706
n02105855,n03124043,n02963159
n02514041,n02799071,n02281787
n04515003,n02488291,n02105641
n03633091,n02536864,n02093647
n03452741,n04487081,n03127925
n02025239,n07831146,n03903868
n02123394,n04208210,n03670208
n04356056,n04275548,n07717410
n04086273,n04254777,n02110958
n04596742,n04229816,n03877845
n04487081,n02066245,n02091244
n02437312,n02106662,n02109961
n07718472,n02328150,n04347754
n03637318,n02276258,n02951358
n02486410,n03532672,n03443371
n02114548,n02870880,n07930864
n03394916,n03291819,n02088094
n04208210,n04462240,n04004767
n12998815,n03710637,n02106382
n02699494,n02391049,n03063689
n04509417,n04517823,n03838899
n04229816,n02363005,n04286575
n03709823,n03063599,n02865351
n07615774,n01753488,n02109047
n07715103,n03089624,n02105251
n02493793,n03495258,n03721384
n04370456,n02011460,n04487394
n03843555,n02097658,n03494278
n02100735,n03627232,n02687172
n03424325,n03291819,n04347754
n04380533,n04532670,n02091134
n02093754,n07693725,n03970156
n01728572,n12998815,n03485407
n02655020,n02088094,n03595614
n04505470,n01728920,n02980441
n02086240,n01622779,n02105251
n02492660,n03841143,n02114367
n03291819,n01693334,n02480495
n04476259,n02009912,n03733805
n02091244,n03000684,n02105056
n04370456,n01630670,n03877845
n02110958,n07871810,n02326432
n04141076,n02091244,n02971356
n01558993,n03814639,n02009912
n01806567,n02481823,n02112706
n04254120,n01819313,n04447861
n02412080,n02105162,n02483362
n03876231,n02112350,n09288635
n03196217,n01693334,n03657121
n09288635,n04517823,n02948072
n02892201,n03929660,n02113186
n02128925,n01917289,n02794156
n02226429,n02089867,n02606052
n01817953,n03160309,n02110806
n04367480,n02259212,n02086240
n02415577,n01622779,n04355338
n04252077,n02093754,n04141327
n03498962,n03485794,n02092002
n07768694,n02951358,n03584254
n04505470,n02415577,n04033901
n03729826,n03297495,n02444819
n03255030,n02489166,n03786901
n02167151,n02226429,n02229544
n03344393,n01820546,n03223299
n02669723,n02096051,n07684084
n09835506,n07860988,n04485082
n03483316,n01914609,n03759954
n02091831,n02769748,n02012849
n03544143,n02488702,n02708093
n02137549,n02013706,n09835506
n04443257,n07871810,n02123394
n04392985,n02894605,n04596742
n01514668,n01695060,n02107908
n03658185,n02443484,n01770081
n03777754,n02892767,n03733805
n02113023,n04116512,n04370456
n03259280,n02097658,n02676566
n02123045,n01644900,n02326432
n04532670,n03384352,n03642806
n02110958,n03930630,n02099267
n07614500,n02640242,n02097209
n07693725,n01753488,n03452741
n01855672,n02437312,n04604644
n04461696,n02111889,n07753275
n15075141,n11939491,n04584207
n03770679,n02389026,n02807133
n02802426,n07697537,n01828970
n02088238,n02319095,n02916936
n02999410,n07871810,n02097209
n03837869,n03127747,n03297495
n03347037,n01498041,n01817953
n02791124,n03950228,n02667093
n03494278,n02364673,n04479046
n02096437,n02640242,n02326432
n02823750,n02108551,n03133878
n03924679,n02110806,n02815834
n02823750,n02174001,n04258138
n04592741,n09399592,n03481172
n02526121,n01917289,n02129165
n03792782,n01775062,n01806143
n04522168,n07590611,n02480495
n01629819,n04443257,n15075141
n02091134,n03868863,n02843684
n04264628,n01667114,n02114548
n02105641,n01667778,n03657121
n01833805,n03791053,n07930864
n02116738,n02093428,n03947888
n03888257,n01688243,n01616318
n02113624,n02027492,n04270147
n02095314,n04562935,n04366367
n04404412,n03947888,n03187595
n02423022,n02493793,n03903868
n02094114,n03961711,n04086273
n03000684,n02100735,n02749479
n03670208,n03930313,n01734418
n03345487,n02128925,n01797886
n02397096,n02107908,n04467665
n04465501,n01773157,n02794156
n03028079,n03777754,n02454379
n03840681,n03814906,n03983396
n04037443,n02415577,n02114855
n10565667,n02106662,n01968897
n02110341,n10148035,n02002724
n04557648,n02808440,n04482393
n02165456,n02231487,n03742115
n03598930,n02321529,n02099429
n04597913,n02363005,n02009229
n02823750,n07579787,n03942813
n02006656,n04525305,n03938244
n01608432,n02112706,n03450230
n02093859,n03095699,n02640242
n03838899,n02391049,n04476259
n03527444,n03482405,n02012849
